description;population;start_date;end_date;location;zones;annee_scolaire
Vacances d'Hiver;-;2019-02-09T00:00:00+01:00;2019-02-25T00:00:00+01:00;Nice;Zone B;2018-2019
Vacances d'Hiver;-;2019-02-09T00:00:00+01:00;2019-02-25T00:00:00+01:00;Strasbourg;Zone B;2018-2019
Vacances d'Hiver;-;2019-02-16T00:00:00+01:00;2019-03-04T00:00:00+01:00;Lyon;Zone A;2018-2019
Vacances d'Hiver;-;2019-02-23T00:00:00+01:00;2019-03-11T00:00:00+01:00;Montpellier;Zone C;2018-2019
Vacances de Printemps;-;2019-04-06T00:00:00+02:00;2019-04-23T00:00:00+02:00;Strasbourg;Zone B;2018-2019
Vacances de Printemps;-;2019-04-13T00:00:00+02:00;2019-04-29T00:00:00+02:00;Dijon;Zone A;2018-2019
Vacances de Printemps;-;2019-04-13T00:00:00+02:00;2019-04-29T00:00:00+02:00;Limoges;Zone A;2018-2019
Vacances de Printemps;-;2019-04-13T00:00:00+02:00;2019-04-29T00:00:00+02:00;Martinique;Martinique;2018-2019
Vacances après 4ème période;-;2019-05-07T00:00:00+02:00;2019-05-20T00:00:00+02:00;Réunion;Réunion;2018-2019
Pont de l'Ascension;-;2019-05-29T00:00:00+02:00;2019-06-03T00:00:00+02:00;Besançon;Zone A;2018-2019
Pont de l'Ascension;-;2019-05-29T00:00:00+02:00;2019-06-03T00:00:00+02:00;Bordeaux;Zone A;2018-2019
Pont de l'Ascension;-;2019-05-29T00:00:00+02:00;2019-06-03T00:00:00+02:00;Limoges;Zone A;2018-2019
Pont de l'Ascension;-;2019-05-29T00:00:00+02:00;2019-06-03T00:00:00+02:00;Reims;Zone B;2018-2019
Pont de l'Ascension;-;2019-05-29T00:00:00+02:00;2019-06-03T00:00:00+02:00;Strasbourg;Zone B;2018-2019
Vacances 2ème période;-;2019-06-08T00:00:00+02:00;2019-06-24T00:00:00+02:00;Wallis et Futuna;Wallis et Futuna;2019
Vacances d'Été;Enseignants;2019-07-03T00:00:00+02:00;2019-09-04T00:00:00+02:00;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2018-2019
Vacances d'Été;Élèves;2019-07-06T00:00:00+02:00;2019-09-02T00:00:00+02:00;Bordeaux;Zone A;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Bordeaux;Zone A;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Clermont-Ferrand;Zone A;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Lyon;Zone A;2018-2019
Vacances d'Été;Élèves;2019-07-06T00:00:00+02:00;2019-09-02T00:00:00+02:00;Amiens;Zone B;2018-2019
Vacances d'Été;Élèves;2019-07-06T00:00:00+02:00;2019-09-02T00:00:00+02:00;Caen;Zone B;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Caen;Zone B;2018-2019
Vacances d'Été;Élèves;2019-07-06T00:00:00+02:00;2019-09-02T00:00:00+02:00;Nice;Zone B;2018-2019
Vacances d'Été;Élèves;2019-07-06T00:00:00+02:00;2019-09-02T00:00:00+02:00;Reims;Zone B;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Toulouse;Zone C;2018-2019
Vacances d'Été;Élèves;2019-07-06T00:00:00+02:00;2019-09-02T00:00:00+02:00;Martinique;Martinique;2018-2019
Vacances de Septembre;-;2019-09-14T00:00:00+02:00;2019-09-23T00:00:00+02:00;Polynésie;Polynésie;2019-2020
Vacances de la Toussaint;-;2019-10-19T00:00:00+02:00;2019-11-04T00:00:00+01:00;Limoges;Zone A;2019-2020
Vacances de la Toussaint;-;2019-10-19T00:00:00+02:00;2019-11-04T00:00:00+01:00;Amiens;Zone B;2019-2020
Vacances de la Toussaint;-;2019-10-19T00:00:00+02:00;2019-11-04T00:00:00+01:00;Lille;Zone B;2019-2020
